Date,spectral_radius,stable
2024-03-01,0.9776000711374565,True
2024-03-04,0.9770716388764201,True
2024-03-05,0.9793479136725053,True
2024-03-06,0.9783590341368591,True
2024-03-07,0.9761655449725488,True
2024-03-08,0.9781697931166186,True
2024-03-11,0.9755383729489284,True
2024-03-12,0.97515204050908,True
2024-03-13,0.9738740303654504,True
2024-03-14,0.9757699074425306,True
2024-03-15,0.9794302713286217,True
2024-03-18,0.9788436506961053,True
2024-03-19,0.9778687187893748,True
2024-03-20,0.9778913210641252,True
2024-03-21,0.975144533087146,True
2024-03-22,0.9764895478872452,True
2024-03-25,0.9782585144204332,True
2024-03-26,0.9755986683351371,True
2024-03-27,0.9726716090503779,True
2024-03-28,0.9747902588910484,True
2024-03-29,0.9728565254852904,True
2024-04-01,0.9716340722409563,True
2024-04-02,0.9705151706653309,True
2024-04-03,0.9721662482902762,True
2024-04-04,0.9703687976775707,True
2024-04-05,0.9690806465960364,True
2024-04-08,0.9685678170722632,True
2024-04-09,0.9703628930240322,True
2024-04-10,0.9778629246340188,True
2024-04-11,0.9743260785559252,True
2024-04-12,0.973140831777721,True
2024-04-15,0.973585178980322,True
2024-04-16,0.9719468873462574,True
2024-04-17,0.9687482558723434,True
2024-04-19,0.9681990710915299,True
2024-04-22,0.9666379043316367,True
2024-04-23,0.9675977502236659,True
2024-04-24,0.9680110610432456,True
2024-04-25,0.9782906438400032,True
2024-04-26,0.9739916258027483,True
2024-05-02,0.9744089107212057,True
2024-05-03,0.9739465463609814,True
2024-05-06,0.9739796094975838,True
2024-05-07,0.9737866030665137,True
2024-05-08,0.9742966264920694,True
2024-05-09,0.9723739067181346,True
2024-05-10,0.9754397664814906,True
2024-05-13,0.9861156789748851,True
2024-05-14,0.9865908900210865,True
2024-05-15,0.9846340717490465,True
2024-05-16,0.9862053611897905,True
2024-05-17,0.981602994369687,True
2024-05-20,0.9784369610975961,True
2024-05-21,0.9789386431691547,True
2024-05-22,0.9772081658142788,True
2024-05-23,0.9758663948560053,True
2024-05-24,0.9756926902733397,True
2024-05-27,0.9742397888219314,True
2024-05-28,0.9732508881608569,True
2024-05-29,0.9732361327554789,True
2024-05-30,0.9727035611485036,True
2024-05-31,0.9732001462023545,True
2024-06-03,0.9746714287421031,True
2024-06-04,0.9817571482849766,True
2024-06-05,0.9792619910575,True
2024-06-06,0.9775918944682057,True
2024-06-07,0.9768012512162004,True
2024-06-10,0.9749072046667897,True
2024-06-11,0.9729736174076843,True
2024-06-12,0.9725361531957392,True
2024-06-13,0.9715921678390448,True
2024-06-14,0.9713550048075106,True
2024-06-17,0.9708695894135326,True
2024-06-18,0.9705870234596375,True
2024-06-19,0.970561666798976,True
2024-06-20,0.9705251523020295,True
2024-06-21,0.9705735637597374,True
2024-06-24,0.9706400696674568,True
2024-06-25,0.9704417547857118,True
2024-06-26,0.9705801684513492,True
2024-06-27,0.970679823456412,True
2024-06-28,0.97095956139051,True
2024-07-01,0.971165492514121,True
2024-07-02,0.9712958997512392,True
2024-07-03,0.9715265322421175,True
2024-07-04,0.9712799115342644,True
2024-07-05,0.9702827525600606,True
2024-07-08,0.970727337390475,True
2024-07-09,0.9713608318548207,True
2024-07-10,0.9718182050898864,True
2024-07-11,0.9725052845942799,True
2024-07-12,0.9729062747374001,True
2024-07-15,0.9731685858523412,True
2024-07-16,0.9724440149417143,True
2024-07-17,0.9730665940752253,True
2024-07-18,0.9731883126914502,True
2024-07-19,0.9620520117112582,True
2024-07-22,0.9606575526827054,True
2024-07-23,0.9589574696533538,True
2024-07-24,0.9579890716385865,True
2024-07-25,0.9575792818705198,True
2024-07-26,0.9564927067930651,True
2024-07-29,0.9563822534890428,True
2024-07-30,0.9563966154798296,True
2024-07-31,0.9563948079121212,True
2024-08-01,0.9565039393569877,True
2024-08-02,0.9564610329787185,True
2024-08-05,0.9574292965112698,True
2024-08-06,0.9591457414256588,True
2024-08-07,0.9590700670078112,True
2024-08-08,0.959314578333563,True
2024-08-09,0.960391249731553,True
2024-08-12,0.9600674136713138,True
2024-08-13,0.9603679043270316,True
2024-08-14,0.9603121871769879,True
2024-08-15,0.9609648093026819,True
2024-08-16,0.9611115778783269,True
2024-08-19,0.9605724562878771,True
2024-08-20,0.9603873261664311,True
2024-08-21,0.9603750088206664,True
2024-08-22,0.9602888999155912,True
2024-08-23,0.9602671903369892,True
2024-08-26,0.9603494015494526,True
2024-08-27,0.9603740948298078,True
2024-08-28,0.9601900756920494,True
2024-08-29,0.9602450305760448,True
2024-08-30,0.9603632576383446,True
2024-09-04,0.9605305919492944,True
2024-09-05,0.960681550570425,True
2024-09-06,0.960395020235991,True
2024-09-09,0.9599224730790735,True
2024-09-10,0.960104087183475,True
2024-09-11,0.9606190266838074,True
2024-09-12,0.9607786946848843,True
2024-09-13,0.9610445465039923,True
2024-09-16,0.9612487484614644,True
2024-09-17,0.9610617760068099,True
2024-09-18,0.9600785998300372,True
2024-09-19,0.9600521729109615,True
2024-09-20,0.9600382488230642,True
2024-09-23,0.9600623022995659,True
2024-09-24,0.9601861568429488,True
2024-09-25,0.959770776745912,True
2024-09-26,0.9597819074780428,True
2024-09-27,0.9597734144357587,True
2024-09-30,0.9598109609478289,True
2024-10-01,0.9594706760416402,True
2024-10-02,0.9590064875299533,True
2024-10-03,0.9590664625203613,True
2024-10-04,0.9593492986605436,True
2024-10-07,0.9595720791041717,True
2024-10-08,0.9597649748892111,True
2024-10-09,0.959517831623721,True
2024-10-10,0.959355110792971,True
2024-10-11,0.9593638033388904,True
2024-10-14,0.9593476259713494,True
2024-10-15,0.9589882387870807,True
2024-10-16,0.959228603684184,True
2024-10-17,0.9590403480827323,True
2024-10-18,0.9591739436930481,True
2024-10-21,0.9593198380706787,True
2024-10-22,0.9584355847757524,True
2024-10-23,0.958013262490061,True
2024-10-24,0.9578322779042903,True
2024-10-25,0.9571605669545163,True
2024-10-28,0.9571795508595542,True
2024-10-29,0.9571530068635905,True
2024-10-30,0.957106959197246,True
2024-10-31,0.9571571070943796,True
2024-11-01,0.9571822190871039,True
